Prompt,Blight_Risk
"La variedad es Yungay, sembrada durante la temporada maway. Los datos climáticos muestran 0.0 mm de precipitación, una temperatura máxima de 21.8°C y una temperatura mínima de 5.9°C. La humedad promedio es del 73.97%. ¿Cuál es el riesgo de tizón tardío?",Low
"La variedad es CIP Matilde, sembrada durante la temporada maway. Los datos climáticos muestran 0.0 mm de precipitación, una temperatura máxima de 20.4°C y una temperatura mínima de 5.8°C. La humedad promedio es del 73.97%. ¿Cuál es el riesgo de tizón tardío?",Low
"La variedad es INIA-321 Kawsay, sembrada durante la temporada other. Los datos climáticos muestran 0.0 mm de precipitación, una temperatura máxima de 18.2°C y una temperatura mínima de 4.1°C. La humedad promedio es del 84.46%. ¿Cuál es el riesgo de tizón tardío?",Low
"La variedad es INIA-302 Amarilis, sembrada durante la temporada hatun. Los datos climáticos muestran 0.0 mm de precipitación, una temperatura máxima de 21.6°C y una temperatura mínima de 7.8°C. La humedad promedio es del 77.07%. ¿Cuál es el riesgo de tizón tardío?",Low
"La variedad es Poccoya, sembrada durante la temporada other. Los datos climáticos muestran 11.9 mm de precipitación, una temperatura máxima de 17.2°C y una temperatura mínima de 8.2°C. La humedad promedio es del 78.55%. ¿Cuál es el riesgo de tizón tardío?",Medium
"La variedad es INIA-303 Canchan, sembrada durante la temporada maway. Los datos climáticos muestran 0.0 mm de precipitación, una temperatura máxima de 15.6°C y una temperatura mínima de 4.2°C. La humedad promedio es del 68.53%. ¿Cuál es el riesgo de tizón tardío?",Low
"La variedad es INIA-302 Amarilis, sembrada durante la temporada other. Los datos climáticos muestran 1.5 mm de precipitación, una temperatura máxima de 17.8°C y una temperatura mínima de 6.1°C. La humedad promedio es del 78.55%. ¿Cuál es el riesgo de tizón tardío?",Low
"La variedad es INIA-303 Canchan, sembrada durante la temporada hatun. Los datos climáticos muestran 0.0 mm de precipitación, una temperatura máxima de 21.9°C y una temperatura mínima de 6.2°C. La humedad promedio es del 77.07%. ¿Cuál es el riesgo de tizón tardío?",Low
"La variedad es INIA-303 Canchan, sembrada durante la temporada maway. Los datos climáticos muestran 0.0 mm de precipitación, una temperatura máxima de 15.8°C y una temperatura mínima de 6.2°C. La humedad promedio es del 73.97%. ¿Cuál es el riesgo de tizón tardío?",Low
"La variedad es INIA-303 Canchan, sembrada durante la temporada hatun. Los datos climáticos muestran 0.0 mm de precipitación, una temperatura máxima de 20.8°C y una temperatura mínima de 6.5°C. La humedad promedio es del 77.07%. ¿Cuál es el riesgo de tizón tardío?",Low
"La variedad es INIA-302 Amarilis, sembrada durante la temporada other. Los datos climáticos muestran 14.5 mm de precipitación, una temperatura máxima de 16.8°C y una temperatura mínima de 7.8°C. La humedad promedio es del 79.52%. ¿Cuál es el riesgo de tizón tardío?",Medium
"La variedad es Poccoya, sembrada durante la temporada coastal. Los datos climáticos muestran 0.0 mm de precipitación, una temperatura máxima de 22.4°C y una temperatura mínima de 5.4°C. La humedad promedio es del 73.32%. ¿Cuál es el riesgo de tizón tardío?",Low
"La variedad es CIP Matilde, sembrada durante la temporada hatun. Los datos climáticos muestran 0.0 mm de precipitación, una temperatura máxima de 22.0°C y una temperatura mínima de 6.6°C. La humedad promedio es del 70.87%. ¿Cuál es el riesgo de tizón tardío?",Low
"La variedad es Poccoya, sembrada durante la temporada other. Los datos climáticos muestran 0.0 mm de precipitación, una temperatura máxima de 18.6°C y una temperatura mínima de 5.4°C. La humedad promedio es del 77.03%. ¿Cuál es el riesgo de tizón tardío?",Low
"La variedad es Poccoya, sembrada durante la temporada maway. Los datos climáticos muestran 0.0 mm de precipitación, una temperatura máxima de 18.0°C y una temperatura mínima de 5.5°C. La humedad promedio es del 68.53%. ¿Cuál es el riesgo de tizón tardío?",Low
"La variedad es INIA-303 Canchan, sembrada durante la temporada maway. Los datos climáticos muestran 0.0 mm de precipitación, una temperatura máxima de 22.8°C y una temperatura mínima de 5.8°C. La humedad promedio es del 73.97%. ¿Cuál es el riesgo de tizón tardío?",Low
"La variedad es CIP Matilde, sembrada durante la temporada other. Los datos climáticos muestran 0.8 mm de precipitación, una temperatura máxima de 17.8°C y una temperatura mínima de 7.2°C. La humedad promedio es del 79.52%. ¿Cuál es el riesgo de tizón tardío?",Low
"La variedad es CIP Matilde, sembrada durante la temporada other. Los datos climáticos muestran 7.2 mm de precipitación, una temperatura máxima de 17.0°C y una temperatura mínima de 7.9°C. La humedad promedio es del 78.55%. ¿Cuál es el riesgo de tizón tardío?",Medium
"La variedad es Yungay, sembrada durante la temporada hatun. Los datos climáticos muestran 8.3 mm de precipitación, una temperatura máxima de 20.4°C y una temperatura mínima de 6.2°C. La humedad promedio es del 70.87%. ¿Cuál es el riesgo de tizón tardío?",Medium
