Date,Max_Temp,Min_Temp,Rainfall,Variety,Blight_Risk,Resistance_Level,Marketable_Yield_t_ha,Fungicide_Apps,Environmental_Impact,Variety_Notes,Month,Average_Humidity_2019 (%),High_Humidity_Season,Humidity_Above_80%,Planting_Season,Planting_Months
2009-01-01,16.3,5.7,3.0,CIP Matilde,Low,High,25.1,7.0,High,"Widespread, moderate resistance",January,78.55,True,False,other,['Not Planting Season']
2009-01-02,18.2,6.0,0.2,INIA-303 Canchan,Low,Moderately Resistant,25.1,7.0,High,"Widespread, moderate resistance",January,78.55,True,False,other,['Not Planting Season']
2009-01-03,20.2,6.2,9.5,Poccoya,Medium,High,25.1,7.0,High,"Widespread, moderate resistance",January,78.55,True,False,other,['Not Planting Season']
2009-01-04,20.5,6.4,11.2,Poccoya,Medium,High,25.1,7.0,High,"Widespread, moderate resistance",January,78.55,True,False,other,['Not Planting Season']
2009-01-05,19.0,6.2,0.0,INIA-303 Canchan,Low,Moderately Resistant,25.1,7.0,High,"Widespread, moderate resistance",January,78.55,True,False,other,['Not Planting Season']
2009-01-06,20.4,8.6,0.0,INIA-321 Kawsay,Low,High,25.1,7.0,High,"Widespread, moderate resistance",January,78.55,True,False,other,['Not Planting Season']
2009-01-07,20.6,8.2,10.6,INIA-303 Canchan,Medium,Moderately Resistant,25.1,7.0,High,"Widespread, moderate resistance",January,78.55,True,False,other,['Not Planting Season']
2009-01-08,14.5,6.8,4.8,INIA-321 Kawsay,Low,High,25.1,7.0,High,"Widespread, moderate resistance",January,78.55,True,False,other,['Not Planting Season']
2009-01-09,19.4,7.4,0.0,INIA-303 Canchan,Low,Moderately Resistant,25.1,7.0,High,"Widespread, moderate resistance",January,78.55,True,False,other,['Not Planting Season']
2009-01-10,17.2,7.0,1.9,INIA-321 Kawsay,Low,High,25.1,7.0,High,"Widespread, moderate resistance",January,78.55,True,False,other,['Not Planting Season']
2009-01-11,15.6,6.6,0.0,Yungay,Low,Moderately Susceptible,25.1,7.0,High,"Widespread, moderate resistance",January,78.55,True,False,other,['Not Planting Season']
2009-01-12,14.5,7.4,0.9,INIA-303 Canchan,Low,Moderately Resistant,25.1,7.0,High,"Widespread, moderate resistance",January,78.55,True,False,other,['Not Planting Season']
2009-01-13,16.0,7.8,0.0,INIA-321 Kawsay,Low,High,25.1,7.0,High,"Widespread, moderate resistance",January,78.55,True,False,other,['Not Planting Season']
2009-01-14,17.9,8.2,0.0,CIP Matilde,Low,High,25.1,7.0,High,"Widespread, moderate resistance",January,78.55,True,False,other,['Not Planting Season']
